timestamp,millis,sensor,nano,altitude,climb,pressure,altitude_raw,latitude,longitude,altitude_gps,vN,vE,groundSpeed,speed,bearing,glide,glideAngle,hAcc,vAcc,sAcc,pdop,hdop,vdop,gpsFix,numSat,groundDistance,flightMode,jumpNumber,gX,gY,gZ,rotX,rotY,rotZ,acc
20120427-120708.228,1335553628228,Alti,318469500854000,1654.1214475147772,-32.32182539707312,788.4299926757813,1669.530555778154,,,,,,,,,,,,,,,,,,,,Freefall,2,-5.658982276916504,6.178102493286133,-5.1031880378723145,-0.2953030467033386,0.8203021287918091,0.45188888907432556,10.364818572998047
20120427-120708.338,1335553628338,Alti,318469704284000,1647.9680250474792,-32.246396681473236,789.969970703125,1653.8363795637533,,,,,,,,,,,,,,,,,,,,Freefall,2,-5.472021102905273,5.595364570617676,-5.91480016708374,-0.3290756344795227,0.8325707912445068,0.41077539324760437,11.568711280822754
20120427-120708.618,1335553628618,Alti,318469906676000,1640.512804950941,-32.41247511288644,792.5499877929688,1627.5984215015715,,,,,,,,,,,,,,,,,,,,Freefall,2,-5.935906410217285,4.402345180511475,-6.451434135437012,-0.35510149598121643,0.8382851481437683,0.35656657814979553,16.734268188476563
20120427-120708.986,1335553628986,GPS,,1640.512804950941,-32.41247511288644,,,33.61613406666667,-117.3089641,1647.5,4.8611774841781,46.25101426113129,,,,,,165.0,,,31.0,4.400000095367432,,1,3,,Freefall,2,-6.086493015289307,4.289480209350586,-6.386918544769287,-0.35537147521972656,0.8362035155296326,0.3550019860267639,16.38985824584961
20120427-120708.830,1335553628830,Alti,318470102050000,1632.8624964112269,-32.64812325728288,793.8399658203125,1614.5056792074295,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.702312469482422,4.118685245513916,-5.861062049865723,-0.36681056022644043,0.8149691820144653,0.3710779547691345,16.106414794921875
20120427-120708.946,1335553628946,Alti,318470305388000,1625.0847888267688,-32.85180230297152,794.3599853515625,1609.2325683743834,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.348817825317383,4.014352321624756,-5.110373020172119,-0.3868965804576874,0.7815232276916504,0.40083304047584534,16.417234420776367
20120427-120709.230,1335553629230,Alti,318470508239000,1616.9411527488742,-33.116346812451006,795.6300048828125,1596.3660345061346,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.178322792053223,3.432512044906616,-5.7381672859191895,-0.41014033555984497,0.7900935411453247,0.36378398537635803,16.414915084838867
20120427-120709.336,1335553629336,Alti,318470704375000,1608.5809415962142,-33.4498100205604,796.989990234375,1582.6064854747322,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.940617084503174,2.9365932941436768,-6.280340194702148,-0.43453067541122437,0.794528603553772,0.3324446976184845,16.830774307250977
20120427-120709.569,1335553629569,Alti,318470906615000,1600.609822228155,-33.665482156747586,796.8699951171875,1583.8197619389966,,,,,,,,,,,,,,,,,,,,Freefall,2,-6.691984176635742,3.1585817337036133,-6.440357208251953,-0.41735532879829407,0.8087448477745056,0.32906511425971985,16.310626983642578
20120427-120709.986,1335553629986,GPS,,1600.609822228155,-33.665482156747586,,,33.61615935,-117.30905268333333,1592.4,5.069408162174245,45.9181246992691,,,,,,150.0,,,31.0,4.400000095367432,,1,3,,Freefall,2,-6.868317127227783,3.674708366394043,-5.96329927444458,-0.4062105417251587,0.799328625202179,0.3631068468093872,17.98365020751953
20120427-120709.812,1335553629812,Alti,318471104552000,1593.8912956985118,-33.67529545680633,795.9500122070313,1593.1266721874888,,,,,,,,,,,,,,,,,,,,Freefall,2,-7.7752814292907715,5.178930282592773,-2.9933252334594727,-0.35182350873947144,0.7271722555160522,0.5078075528144836,14.005946159362793
